name,papers,csrankings_papers,adjusted_count,csrankings_adjusted_count,papers_with_optional,csrankings_papers_with_optional,status
A. Venkata Subramanyam,0,0,0,0,0,0,MATCH
Anubha Gupta,3,3,0.54133333,0.54133,3,3,MATCH
Arani Bhattacharya,4,4,0.78333333,0.78334,5,5,MATCH
Arun Balaji Buduru,1,1,0.25,0.25,1,1,MATCH
Bapi Chatterjee,3,3,0.7,0.7,4,4,MATCH
Debajyoti Bera,0,0,0,0,0,0,MATCH
Debarka Sengupta,1,1,0.2,0.2,1,1,MATCH
Gajendra P. S. Raghava,0,0,0,0,0,0,MATCH
Ganesh Bagler,0,0,0,0,0,0,MATCH
Gautam Shroff,2,2,0.7,0.7,4,4,MATCH
Jainendra Shukla,4,4,0.9,0.9,4,4,MATCH
Md. Shad Akhtar,24,24,4.975,4.97501,26,26,MATCH
Mukesh K. Mohania,1,1,0.2,0.2,1,1,MATCH
Mukulika Maity,2,2,0.41666667,0.41667,5,5,MATCH
Nikhil Gupta 0008,1,1,0.33333333,0.33333,1,1,MATCH
Ojaswa Sharma,0,0,0,0,1,1,MATCH
Pankaj Jalote,0,0,0,0,0,0,MATCH
Piyus Kedia,1,1,0.16666667,0.16667,6,6,MATCH
Pushpendra Singh 0001,18,18,4.026874,4.026871,18,18,MATCH
Raghava Mutharaju,2,2,0.41666667,0.41667,2,2,MATCH
Rajiv Raman 0001,0,0,0,0,0,0,MATCH
Rajiv Ratn Shah,37,37,7.11038961,7.110358,37,37,MATCH
Ravi Anand,2,2,0.34285714,0.34286,2,2,MATCH
Rinku Shah,0,0,0,0,0,0,MATCH
Saket Anand,7,7,1.56944444,1.56944,7,7,MATCH
Sambuddho Chakravarty,1,1,0.2,0.2,5,5,MATCH
Sujay Deb,0,0,0,0,0,0,MATCH
Supratim Shit,3,3,0.83333333,0.83333,3,3,MATCH
Syamantak Das,5,5,1.125,1.125,5,5,MATCH
Tanmoy Kundu 0001,6,6,2.83333333,2.83333,6,6,MATCH
Vikram Goyal,4,4,0.86666667,0.86667,7,7,MATCH
Vinayak Abrol,4,4,1.58333333,1.58333,5,5,MATCH
Vivek Kumar 0001,1,1,0.25,0.25,1,1,MATCH
