name,dblp_url
A. V. Subramanyam,https://dblp.org/pid/232/6141.html
Angshul Majumdar,https://dblp.org/pid/69/4115.html
Anubha Gupta,https://dblp.org/pid/07/2802-1.html
Arani Bhattacharya,https://dblp.org/pid/139/0489.html
Arun Balaji Buduru,https://dblp.org/pid/128/4273.html
Bapi Chatterjee,https://dblp.org/pid/117/6988.html
Debajyoti Bera,https://dblp.org/pid/46/6276.html
Debarka Sengupta,https://dblp.org/pid/14/11132.html
Diptapriyo Majumdar,https://dblp.org/pid/171/3758.html
Gautam Shroff,https://dblp.org/pid/54/3265.html
Jainendra Shukla,https://dblp.org/pid/117/9926.html
Md. Shad Akhtar,https://dblp.org/pid/184/8579.html
Mukesh Mohania,https://dblp.org/pid/85/6670.html
Mukulika Maity,https://dblp.org/pid/157/1298.html
Nikhil Gupta,https://dblp.org/pid/49/6983-8.html
Ojaswa Sharma,https://dblp.org/pid/08/4556.html
Pankaj Jalote,https://dblp.org/pid/j/PankajJalote.html
Piyus Kedia,https://dblp.org/pid/201/4871.html
Pushpendra Singh,https://dblp.org/pid/55/1719-1.html
Rajiv Raman,https://dblp.org/pid/42/6468.html
Rajiv Ratn Shah,https://dblp.org/pid/134/3502.html
Ravi Anand,https://dblp.org/pid/344/5740.html
Rinku Shah,https://dblp.org/pid/146/0131.html
Saket Anand,https://dblp.org/pid/11/4747.html
Sambuddho Chakravarty,https://dblp.org/pid/95/1983.html
Sandeep Sen,https://dblp.org/pid/s/SandeepSen.html
Sujay Deb,https://dblp.org/pid/61/8572.html
Supratim Shit,https://dblp.org/pid/185/5317.html
Syamantak Das,https://dblp.org/pid/135/6297.html
Tanmoy Kundu,https://dblp.org/pid/226/6193-1.html
V. Raghava Mutharaju,https://dblp.org/pid/63/7446.html
Vikram Goyal,https://dblp.org/pid/70/6404.html
Vinayak Abrol,https://dblp.org/pid/136/4698.html
Vivek Kumar,https://dblp.org/pid/82/2381-1.html
