name,affiliation,homepage,scholarid,orcid
A. V. Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,aPDRgKAAAAAJ,0000-0000-0000-0000
A. Venkata Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,aPDRgKAAAAAJ,0000-0000-0000-0000
Anubha Gupta,IIIT Delhi,http://faculty.iiitd.ac.in/~anubha,VWCf3JEAAAAJ,0000-0002-7752-1926
Arani Bhattacharya,IIIT Delhi,https://www.iiitd.ac.in/arani,YjiIDkjozUcC,0000-0003-2586-7308
Arun Balaji Buduru,IIIT Delhi,http://www.iiitd.ac.in/arunb,sSZczN4AAAAJ,0000-0000-0000-0000
Bapi Chatterjee,IIIT Delhi,https://iiitd.ac.in/bapi,ILI-_h4AAAAJ,0000-0002-2742-4028
Debajyoti Bera,IIIT Delhi,https://www.iiitd.edu.in/~dbera,kv2a54oAAAAJ,0000-0002-1626-7514
Debarka Sengupta,IIIT Delhi,http://iiitd.ac.in/debarka,b-57qe4AAAAJ,0000-0000-0000-0000
G. P. S. Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ,0000-0002-8902-2876
Gajendra P. S. Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ,0000-0000-0000-0000
Gajendra Pal Singh Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ,0000-0000-0000-0000
Ganesh Bagler,IIIT Delhi,http://faculty.iiitd.ac.in/~bagler,qyth_0QAAAAJ,0000-0003-1924-6070
Gautam M. Shroff,IIIT Delhi,https://iiitd.ac.in/gautam,f70Rc2wAAAAJ,0000-0002-0340-0283
Gautam Shroff,IIIT Delhi,https://iiitd.ac.in/gautam,f70Rc2wAAAAJ,0000-0002-0340-0283
Jainendra Shukla,IIIT Delhi,https://www.iiitd.ac.in/jainendra,QCZleNQAAAAJ,0000-0002-6526-0087
Md. Shad Akhtar,IIIT Delhi,https://www.iiitd.ac.in/shad,KUcO6LAAAAAJ,0000-0002-2033-2382
Mukesh K. Mohania,IIIT Delhi,https://www.iiitd.ac.in/mukesh,zgaqvNQAAAAJ,0000-0003-4429-1412
Mukulika Maity,IIIT Delhi,http://www.iiitd.ac.in/people/faculty,F5sooVMAAAAJ,0000-0002-4240-4746
Nikhil Gupta 0008,IIIT Delhi,https://sites.google.com/view/nikhilgupta1,xDvy-j4AAAAJ,0000-0000-0000-0000
Ojaswa Sharma,IIIT Delhi,https://www.iiitd.ac.in/ojaswa,jikZgTsAAAAJ,0000-0002-9902-1367
Pankaj Jalote,IIIT Delhi,https://www.iiitd.edu.in/~jalote,NOSCHOLARPAGE,0000-0000-0000-0000
Piyus Kedia,IIIT Delhi,https://www.iiitd.ac.in/piyus,f-4PIh4AAAAJ,0000-0002-9569-4089
Pushpendra Singh 0001,IIIT Delhi,https://www.pushpendrasingh.info,FniYr_MAAAAJ,0000-0003-2152-1027
Raghava Mutharaju,IIIT Delhi,https://www.iiitd.ac.in/raghavam,69pEM_YAAAAJ,0000-0000-0000-0000
Rajiv Raman 0001,IIIT Delhi,https://www.iiitd.ac.in/rajiv,ota_lSEAAAAJ,0000-0000-0000-0000
Rajiv Ratn Shah,IIIT Delhi,https://old.iiitd.ac.in/people/adjunct-visiting,WAChZv4AAAAJ,0000-0003-1028-9373
Ravi Anand,IIIT Delhi,https://www.iiitd.ac.in/ravianand,ZB6aUc0AAAAJ,0000-0000-0000-0000
Rinku Shah,IIIT Delhi,https://www.iiitd.ac.in/rinku,jNhSvOEAAAAJ,0000-0000-0000-0000
Saket Anand,IIIT Delhi,https://www.iiitd.ac.in/anands,YmYvVEQAAAAJ,0000-0002-6229-3940
Sambuddho Chakravarty,IIIT Delhi,https://www.iiitd.ac.in/sambuddho,8CJgHUIAAAAJ,0000-0000-0000-0000
Sujay Deb,IIIT Delhi,https://www.iiitd.ac.in/sdeb,e3z7tT0AAAAJ,0000-0002-6247-8718
Supratim Shit,IIIT Delhi,https://sites.google.com/view/supratims/home,glUl95gAAAAJ,0000-0000-0000-0000
Syamantak Das,IIIT Delhi,http://faculty.iiitd.ac.in/~syamantak,7nBU-20AAAAJ,0000-0000-0000-0000
Tanmoy Kundu 0001,IIIT Delhi,https://tanmoy1040.wixsite.com/researchprofile,uaR6OVIAAAAJ,0000-0002-3076-0145
Vikram Goyal,IIIT Delhi,https://www.iiitd.ac.in/vikram,YJaVmSwAAAAJ,0000-0003-0769-6381
Vinayak Abrol,IIIT Delhi,https://www.iiitd.ac.in/vabrol,13e0zscAAAAJ,0000-0000-0000-0000
Vivek Kumar 0001,IIIT Delhi,https://www.iiitd.ac.in/vivekk,cRZsY44AAAAJ,0000-0000-0000-0000
